;;Detalle de líneas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Fecha generación: 28 de mayo de 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFORMACIÓN BÁSICA;;;;;;;;INFORMACIÓN TÉCNICA;;;;;;INFORMACIÓN POR TRAMOS;;;;;;;;;;;;UBICACIÓN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nombre;Operador;Estado;Fecha de puesta en operación FPO;Tipo uso/conexión;Subestaciones relacionadas;Tipo de línea;¿Hace parte de un acuerdo de conexión compartida?;Voltaje nominal [kV];Voltaje máximo [kV];Corriente nominal [A];Límite de emergencia [A];Límite térmico [A];Longitud total [km];Tipo de línea/tramo;Longitud [km]; Resistencia (R1) [Ω/km];Reactancia (X1) [Ω/km];Susceptancia (B1) [uS/km];Resistencia (R0) [Ω/km];Reactancia cero (X0) [Ω/km];Susceptancia cero (B0) [uS/km];¿Comparte estructura con otros circuitos?;Circuitos con los que comparte estructura;Resistencia mutua (r0m) [Ω/km];Reactancia mutua (x0m) [Ω/km];Departamento;Municipio;Subárea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALTO RICAURTE - CHIQUINQUIRA 1 115 kV;EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.;Operación;06/02/2018;Uso STR ;CHIQUINQUIRA - ALTO RICAURTE;Aérea;No;115;115;480;480;480;29;Aérea;29;0,1664;0,5061;3,2962;0,4737;1,4836;1,8562;No;-;-;-;BOYACÁ;CHIQUINQUIRÁ;SubArea Boyaca-Casanare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALTO RICAURTE - CHIQUINQUIRA 2 115 kV;EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.;Operación;22/12/2019;Uso STR ;CHIQUINQUIRA - ALTO RICAURTE;Aérea;No;115;115;400;480;515;30,57;Aérea;30,57;0,123;0,503;3,273;0,335;1,47;1,71;No;-;-;-;BOYACÁ;CHIQUINQUIRÁ;SubArea Boyaca-Casanare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALTO RICAURTE - MUISCAS 1 115 kV;EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.;Operación;22/12/2019;Uso STR ;ALTO RICAURTE - MUISCAS;Aérea;No;115;115;400;480;515;45,37;Aérea;45,37;0,174;0,505;3,255;0,397;1,494;1,762;No;-;-;-;BOYACÁ;SÁCHICA;SubArea Boyaca-Casanare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALTO RICAURTE - MUISCAS 2 115 kV;EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.;Operación;22/12/2019;Uso STR ;ALTO RICAURTE - MUISCAS;Aérea;No;115;115;400;480;515;41,03;Aérea;41,03;0,123;0,489;3,373;0,341;1,489;1,744;No;-;-;-;BOYACÁ;SÁCHICA;SubArea Boyaca-Casanare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BARBOSA (SANTANDER) - PAIPA 1 115 kV;ELECTRIFICADORA DE SANTANDER S.A. E.S.P.;Operación;31/12/1982;Uso STR ;PAIPA - BARBOSA (SANTANDER);Aérea;No;115;115;460;475;493;65,23;Aérea;65,23;0,1958;0,5017;3,272;0,5014;1,5144;1,836;No;-;-;-;BOYACÁ;PAIPA;SubArea Boyaca-Casanare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BOAVITA - EL HUCHE 1 115 kV;EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.;Operación;26/02/2018;Uso STR ;BOAVITA - EL HUCHE;Aérea;No;115;115;100;120;120;48;Aérea;48;0,1952;0,4958;3,32;0,5845;1,3722;2,1206;No;-;-;-;BOYACÁ;BOAVITA;SubArea Boyaca-Casanare;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
